batter,bowler,innings,overs,ballnumber,isWicketDelivery,team,batter_avg_wic_per_ball
RV Uthappa,A Nortje,1,4,5,0,DC,0.03830288745
V Kohli,A Nortje,2,5,6,0,DC,0.03296119086
RV Uthappa,A Nortje,1,4,6,0,DC,0.03830288745
Shubman Gill,A Nortje,2,3,5,0,DC,0.03195739015
Shubman Gill,A Nortje,2,3,6,0,DC,0.03195739015
Shubman Gill,A Nortje,1,1,5,1,DC,0.03195739015
RA Tripathi,A Nortje,1,1,6,0,DC,0.0406360424
RA Tripathi,A Nortje,1,5,4,1,DC,0.0406360424
KD Karthik,A Nortje,1,5,5,0,DC,0.02415458937
Shubman Gill,A Nortje,2,1,5,0,DC,0.03195739015
Shubman Gill,A Nortje,2,3,2,0,DC,0.03195739015
Shubman Gill,A Nortje,1,1,3,0,DC,0.03195739015
RA Tripathi,A Nortje,1,5,2,0,DC,0.0406360424
KD Karthik,A Nortje,1,5,6,0,DC,0.02415458937
Shubman Gill,A Nortje,2,3,1,0,DC,0.03195739015
RA Tripathi,A Nortje,1,5,1,0,DC,0.0406360424
Shubman Gill,A Nortje,2,3,4,0,DC,0.03195739015
SR Watson,A Nortje,2,2,1,0,DC,0.03173374613
SR Watson,A Nortje,2,2,2,0,DC,0.03173374613
SR Watson,A Nortje,2,2,3,0,DC,0.03173374613
SR Watson,A Nortje,2,2,4,0,DC,0.03173374613
SR Watson,A Nortje,2,2,5,0,DC,0.03173374613
F du Plessis,A Nortje,2,5,1,0,DC,0.02953586498
SR Watson,A Nortje,2,2,6,0,DC,0.03173374613
F du Plessis,A Nortje,2,5,4,0,DC,0.02953586498
F du Plessis,A Nortje,2,5,3,0,DC,0.02953586498
F du Plessis,A Nortje,2,5,2,0,DC,0.02953586498
MK Pandey,A Nortje,2,2,2,0,DC,0.03024193548
MK Pandey,A Nortje,2,2,1,0,DC,0.03024193548
D Padikkal,A Nortje,2,0,5,1,DC,0.03538175047
AB de Villiers,A Nortje,2,5,2,0,DC,0.03492063492
AB de Villiers,A Nortje,2,5,3,0,DC,0.03492063492
AB de Villiers,A Nortje,2,5,5,1,DC,0.03492063492
D Padikkal,A Nortje,1,5,6,0,DC,0.03538175047
AB de Villiers,A Nortje,2,5,4,0,DC,0.03492063492
D Padikkal,A Nortje,1,5,5,0,DC,0.03538175047
Shubman Gill,A Nortje,2,0,2,0,DC,0.03195739015
Shubman Gill,A Nortje,2,0,1,0,DC,0.03195739015
Shubman Gill,A Nortje,2,0,1,0,DC,0.03195739015
DA Warner,A Nortje,1,0,1,0,DC,0.0295992714
DA Warner,A Nortje,1,0,2,0,DC,0.0295992714
DA Warner,A Nortje,1,0,3,1,DC,0.0295992714
KS Williamson,A Nortje,1,0,5,0,DC,0.02916666667
KS Williamson,A Nortje,1,0,6,0,DC,0.02916666667
KS Williamson,A Nortje,1,2,3,0,DC,0.02916666667
DA Warner,A Nortje,1,0,1,0,DC,0.0295992714
DA Warner,A Nortje,1,0,2,0,DC,0.0295992714
DA Warner,A Nortje,1,3,2,0,DC,0.0295992714
DA Warner,A Nortje,1,3,6,0,DC,0.0295992714
KS Williamson,A Nortje,1,2,1,0,DC,0.02916666667
KS Williamson,A Nortje,1,2,4,0,DC,0.02916666667
DA Warner,A Nortje,1,0,3,0,DC,0.0295992714
KS Williamson,A Nortje,1,0,4,0,DC,0.02916666667
DA Warner,A Nortje,1,3,1,0,DC,0.0295992714
DA Warner,A Nortje,1,3,5,0,DC,0.0295992714
DA Warner,A Nortje,1,3,3,0,DC,0.0295992714
DA Warner,A Nortje,1,3,4,0,DC,0.0295992714
D Padikkal,A Nortje,2,1,6,0,DC,0.03538175047
Ishan Kishan,A Nortje,2,5,6,0,DC,0.02116402116
Q de Kock,A Nortje,2,4,4,0,DC,0.03507404521
MA Agarwal,A Nortje,2,0,4,0,DC,0.04861111111
MA Agarwal,A Nortje,2,0,5,0,DC,0.04861111111
MA Agarwal,A Nortje,2,0,6,0,DC,0.04861111111
MA Agarwal,A Nortje,2,3,6,0,DC,0.04861111111
Q de Kock,A Nortje,2,4,6,0,DC,0.03507404521
Q de Kock,A Nortje,2,4,1,0,DC,0.03507404521
Q de Kock,A Nortje,2,4,2,0,DC,0.03507404521
Q de Kock,A Nortje,2,4,3,0,DC,0.03507404521
Q de Kock,A Nortje,2,4,5,0,DC,0.03507404521
YBK Jaiswal,A Nortje,1,3,2,0,DC,0.04395604396
YBK Jaiswal,A Nortje,1,3,3,0,DC,0.04395604396
YBK Jaiswal,A Nortje,1,3,1,0,DC,0.04395604396
YBK Jaiswal,A Nortje,1,3,6,0,DC,0.04395604396
JM Bairstow,A Nortje,2,3,6,1,DC,0.03285420945
PBB Rajapaksa,A Nortje,2,3,7,0,DC,0.09375
JM Bairstow,A Nortje,2,1,3,0,DC,0.03285420945
JM Bairstow,A Nortje,2,1,6,0,DC,0.03285420945
JM Bairstow,A Nortje,2,3,2,0,DC,0.03285420945
JM Bairstow,A Nortje,2,1,2,0,DC,0.03285420945
JM Bairstow,A Nortje,2,3,1,0,DC,0.03285420945
JM Bairstow,A Nortje,2,3,5,0,DC,0.03285420945
Q de Kock,A Nortje,1,5,1,0,DC,0.03507404521
Q de Kock,A Nortje,1,5,4,0,DC,0.03507404521
Q de Kock,A Nortje,1,5,5,0,DC,0.03507404521
Q de Kock,A Nortje,1,4,1,0,DC,0.03507404521
Q de Kock,A Nortje,2,5,1,0,DC,0.03507404521
Q de Kock,A Nortje,2,5,2,0,DC,0.03507404521
Q de Kock,A Nortje,2,5,4,0,DC,0.03507404521
Q de Kock,A Nortje,1,5,2,0,DC,0.03507404521
Q de Kock,A Nortje,1,5,6,0,DC,0.03507404521
Q de Kock,A Nortje,1,4,2,0,DC,0.03507404521
Q de Kock,A Nortje,2,5,6,0,DC,0.03507404521
Q de Kock,A Nortje,2,5,3,0,DC,0.03507404521
Q de Kock,A Nortje,2,5,5,0,DC,0.03507404521
JC Buttler,A Nortje,2,2,6,1,DC,0.02947845805
JC Buttler,A Nortje,2,2,2,0,DC,0.02947845805
SV Samson,A Nortje,2,4,4,0,DC,0.03793103448
JC Buttler,A Nortje,2,2,4,0,DC,0.02947845805
JC Buttler,A Nortje,2,2,5,0,DC,0.02947845805
JC Buttler,A Nortje,2,2,1,0,DC,0.02947845805
SV Samson,A Nortje,2,3,1,0,DC,0.03793103448
SV Samson,A Nortje,2,3,2,0,DC,0.03793103448
SV Samson,A Nortje,2,3,3,0,DC,0.03793103448
SV Samson,A Nortje,2,3,6,0,DC,0.03793103448
SV Samson,A Nortje,2,1,5,0,DC,0.03793103448
SV Samson,A Nortje,2,3,4,0,DC,0.03793103448
JM Bairstow,A Nortje,1,3,5,0,DC,0.03285420945
JM Bairstow,A Nortje,1,3,6,0,DC,0.03285420945
JM Bairstow,A Nortje,1,5,3,0,DC,0.03285420945
WP Saha,A Nortje,1,0,4,0,DC,0.04672897196
WP Saha,A Nortje,1,0,6,0,DC,0.04672897196
JM Bairstow,A Nortje,1,3,3,0,DC,0.03285420945
JM Bairstow,A Nortje,1,5,1,0,DC,0.03285420945
WP Saha,A Nortje,1,0,5,0,DC,0.04672897196
RD Gaikwad,A Nortje,1,2,7,0,DC,0.03099173554
RD Gaikwad,A Nortje,1,2,2,0,DC,0.03099173554
RD Gaikwad,A Nortje,1,2,5,0,DC,0.03099173554
RD Gaikwad,A Nortje,1,2,1,0,DC,0.03099173554
KS Williamson,A Nortje,2,5,1,0,DC,0.02916666667
