batter,bowler,innings,overs,ballnumber,isWicketDelivery,batsman_run,team,avg_runs_per_ball
AM Rahane,B Kumar,1,2,1,0,0,CSK,0.92303433
AM Rahane,B Kumar,1,2,2,0,0,CSK,0.92303433
AM Rahane,B Kumar,1,2,3,0,0,CSK,0.92303433
AM Rahane,M Jansen,1,3,6,0,0,CSK,1.166666667
AM Rahane,B Kumar,1,2,4,0,1,CSK,0.92303433
AM Rahane,M Jansen,1,3,1,0,1,CSK,1.166666667
AM Rahane,T Natarajan,1,4,6,0,1,CSK,1.268656716
AM Rahane,M Jansen,1,5,3,0,1,CSK,1.166666667
AM Rahane,M Jansen,1,5,6,0,1,CSK,1.166666667
AM Rahane,M Jansen,1,5,2,0,2,CSK,1.166666667
AM Rahane,M Jansen,1,5,1,0,6,CSK,1.166666667
AM Rahane,L Balaji,2,0,1,0,0,CSK,1.053078556
AM Rahane,L Balaji,2,0,2,0,0,CSK,1.053078556
AM Rahane,L Balaji,2,0,3,0,0,CSK,1.053078556
AM Rahane,L Balaji,2,0,5,0,0,CSK,1.053078556
AM Rahane,BE Hendricks,2,1,3,0,0,CSK,1.5625
AM Rahane,JP Duminy,1,0,1,0,0,CSK,1.174698795
AM Rahane,JP Duminy,1,0,5,0,0,CSK,1.174698795
AM Rahane,R Shukla,1,1,1,0,0,CSK,1.327272727
AM Rahane,R Shukla,1,1,3,0,0,CSK,1.327272727
AM Rahane,R Shukla,1,1,4,0,0,CSK,1.327272727
AM Rahane,R Shukla,1,1,5,0,0,CSK,1.327272727
AM Rahane,S Kaul,1,2,6,0,0,CSK,1.446327684
AM Rahane,R Shukla,1,3,5,0,0,CSK,1.327272727
AM Rahane,R Shukla,1,3,6,0,0,CSK,1.327272727
AM Rahane,S Nadeem,1,5,1,0,0,CSK,1.290322581
AM Rahane,JA Morkel,2,0,1,0,0,CSK,1.282998944
AM Rahane,JA Morkel,2,0,2,0,0,CSK,1.282998944
AM Rahane,JA Morkel,2,0,3,0,0,CSK,1.282998944
AM Rahane,JA Morkel,2,0,5,0,0,CSK,1.282998944
AM Rahane,AB Dinda,2,3,2,0,0,CSK,1.095906433
AM Rahane,AB Dinda,2,3,3,0,0,CSK,1.095906433
AM Rahane,AB Dinda,2,3,4,0,0,CSK,1.095906433
AM Rahane,AB Dinda,2,3,5,0,0,CSK,1.095906433
AM Rahane,B Kumar,2,0,1,0,0,CSK,0.92303433
AM Rahane,B Kumar,2,0,2,0,0,CSK,0.92303433
AM Rahane,B Kumar,2,0,3,1,0,CSK,0.92303433
AM Rahane,R Vinay Kumar,1,0,2,0,0,CSK,1.158441558
AM Rahane,UT Yadav,1,1,1,0,0,CSK,1.157854985
AM Rahane,UT Yadav,1,1,2,0,0,CSK,1.157854985
AM Rahane,UT Yadav,1,1,5,0,0,CSK,1.157854985
AM Rahane,R Vinay Kumar,1,2,4,0,0,CSK,1.158441558
AM Rahane,R Vinay Kumar,1,2,5,0,0,CSK,1.158441558
AM Rahane,UT Yadav,1,3,1,0,0,CSK,1.157854985
AM Rahane,UT Yadav,1,3,2,0,0,CSK,1.157854985
AM Rahane,SP Narine,1,5,5,0,0,CSK,1.044340723
AM Rahane,S Nadeem,2,0,5,0,0,CSK,1.290322581
AM Rahane,Mohammed Shami,2,1,2,0,0,CSK,1.146297948
AM Rahane,WD Parnell,2,2,1,0,0,CSK,0.996539792
AM Rahane,WD Parnell,2,2,5,1,0,CSK,0.996539792
AM Rahane,R Vinay Kumar,1,0,3,0,0,CSK,1.158441558
AM Rahane,M Morkel,1,1,5,0,0,CSK,1.055323591
AM Rahane,M Morkel,1,1,6,0,0,CSK,1.055323591
AM Rahane,M Morkel,1,1,7,0,0,CSK,1.055323591
AM Rahane,M Morkel,1,1,8,0,0,CSK,1.055323591
AM Rahane,MA Starc,2,0,1,0,0,CSK,0.996794872
AM Rahane,MA Starc,2,0,3,0,0,CSK,0.996794872
AM Rahane,MA Starc,2,0,5,0,0,CSK,0.996794872
AM Rahane,MA Starc,2,0,6,0,0,CSK,0.996794872
AM Rahane,MA Starc,2,2,2,0,0,CSK,0.996794872
AM Rahane,MA Starc,2,2,3,0,0,CSK,0.996794872
AM Rahane,R Rampaul,2,3,1,0,0,CSK,0.945783133
AM Rahane,R Rampaul,2,3,2,0,0,CSK,0.945783133
AM Rahane,R Rampaul,2,3,6,0,0,CSK,0.945783133
AM Rahane,MA Starc,2,4,2,0,0,CSK,0.996794872
AM Rahane,MA Starc,2,4,3,1,0,CSK,0.996794872
AM Rahane,L Balaji,2,0,6,0,1,CSK,1.053078556
AM Rahane,BE Hendricks,2,1,1,0,1,CSK,1.5625
AM Rahane,L Balaji,2,2,1,0,1,CSK,1.053078556
AM Rahane,JP Duminy,1,0,3,0,1,CSK,1.174698795
AM Rahane,JP Duminy,1,0,6,0,1,CSK,1.174698795
AM Rahane,R Shukla,1,3,2,0,1,CSK,1.327272727
AM Rahane,S Kaul,1,4,5,0,1,CSK,1.446327684
AM Rahane,S Nadeem,1,5,2,0,1,CSK,1.290322581
AM Rahane,MA Starc,2,1,4,0,1,CSK,0.996794872
AM Rahane,JA Morkel,2,2,2,0,1,CSK,1.282998944
AM Rahane,AB Dinda,2,3,6,0,1,CSK,1.095906433
AM Rahane,VR Aaron,2,4,1,0,1,CSK,1.294840295
AM Rahane,VR Aaron,2,4,5,0,1,CSK,1.294840295
AM Rahane,AB Dinda,2,5,1,0,1,CSK,1.095906433
AM Rahane,AB Dinda,2,5,4,0,1,CSK,1.095906433
AM Rahane,R Vinay Kumar,1,0,3,0,1,CSK,1.158441558
AM Rahane,UT Yadav,1,1,6,0,1,CSK,1.157854985
AM Rahane,R Vinay Kumar,1,2,6,0,1,CSK,1.158441558
AM Rahane,UT Yadav,1,3,5,0,1,CSK,1.157854985
AM Rahane,Shakib Al Hasan,1,4,6,0,1,CSK,1.221978022
AM Rahane,SP Narine,1,5,1,0,1,CSK,1.044340723
AM Rahane,S Nadeem,2,0,1,0,1,CSK,1.290322581
AM Rahane,S Nadeem,2,0,3,0,1,CSK,1.290322581
AM Rahane,S Nadeem,2,0,6,0,1,CSK,1.290322581
AM Rahane,Mohammed Shami,2,1,3,0,1,CSK,1.146297948
AM Rahane,R Vinay Kumar,1,0,4,0,1,CSK,1.158441558
