ID,innings,overs,ballnumber,batter,bowler,non_striker,extra_type,batsman_run,extras_run,total_run,non_boundary,isWicketDelivery,player_out,kind,fielders_involved,BattingTeam,player,team
734033,2,0,1,AM Rahane,L Balaji,KK Nair,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
734011,1,0,1,AM Rahane,JP Duminy,KK Nair,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
733999,2,0,1,AM Rahane,JA Morkel,KK Nair,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
733989,2,0,1,AM Rahane,B Kumar,KK Nair,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
729305,2,0,1,AM Rahane,MA Starc,KK Nair,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
733975,2,0,1,AM Rahane,S Nadeem,KK Nair,NA,1,0,1,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
729315,1,0,1,AM Rahane,R Vinay Kumar,KK Nair,NA,2,0,2,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
733979,1,0,1,AM Rahane,R Vinay Kumar,KK Nair,NA,4,0,4,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
1254061,2,0,1,BA Stokes,Mohammed Shami,M Vohra,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,BA Stokes,CSK
1304065,2,0,1,AM Rahane,Mustafizur Rahman,VR Iyer,NA,0,0,0,0,0,NA,NA,NA,Kolkata Knight Riders,AM Rahane,CSK
1304060,2,0,1,AM Rahane,Basil Thampi,VR Iyer,NA,0,0,0,0,0,NA,NA,NA,Kolkata Knight Riders,AM Rahane,CSK
1304054,2,0,1,AM Rahane,Arshdeep Singh,VR Iyer,NA,0,0,0,0,0,NA,NA,NA,Kolkata Knight Riders,AM Rahane,CSK
1304047,2,0,1,AM Rahane,TU Deshpande,VR Iyer,NA,0,0,0,0,0,NA,NA,NA,Kolkata Knight Riders,AM Rahane,CSK
1304052,1,0,1,AM Rahane,DJ Willey,VR Iyer,NA,1,0,1,0,0,NA,NA,NA,Kolkata Knight Riders,AM Rahane,CSK
1216524,2,0,1,AM Rahane,Sandeep Sharma,S Dhawan,NA,0,0,0,0,0,NA,NA,NA,Delhi Capitals,AM Rahane,CSK
1216497,2,0,1,AM Rahane,PJ Cummins,S Dhawan,NA,0,0,0,0,1,AM Rahane,lbw,NA,Delhi Capitals,AM Rahane,CSK
1136571,1,0,1,AM Rahane,Washington Sundar,DJM Short,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
1136566,1,0,1,AM Rahane,TA Boult,DJM Short,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
1136564,1,0,1,AM Rahane,B Kumar,DJM Short,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
1136575,1,0,1,AM Rahane,PP Chawla,DJM Short,NA,1,0,1,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
1304108,1,0,1,RD Gaikwad,Mohammed Shami,DP Conway,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1304101,1,0,1,RD Gaikwad,SN Thakur,DP Conway,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1304095,2,0,1,RD Gaikwad,Shahbaz Ahmed,DP Conway,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1304047,1,0,1,RD Gaikwad,UT Yadav,DP Conway,noballs,0,1,1,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1304105,1,0,1,RD Gaikwad,DR Sams,DP Conway,NA,1,0,1,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1304092,1,0,1,RD Gaikwad,B Kumar,DP Conway,NA,1,0,1,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1304114,1,0,1,RD Gaikwad,TA Boult,DP Conway,NA,2,0,2,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1136577,2,0,1,AM Rahane,DL Chahar,H Klaasen,wides,0,1,1,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
829797,2,0,1,AM Rahane,A Nehra,SR Watson,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
829787,2,0,1,AM Rahane,B Kumar,SR Watson,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
829777,1,0,1,AM Rahane,Z Khan,SR Watson,wides,0,2,2,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
829769,2,0,1,AM Rahane,MJ McClenaghan,SR Watson,wides,0,1,1,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
829749,1,0,1,AM Rahane,MA Starc,SR Watson,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
829735,2,0,1,AM Rahane,IC Pandey,SR Watson,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
829819,2,0,1,AM Rahane,MA Starc,SR Watson,NA,1,0,1,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
829811,1,0,1,AM Rahane,Azhar Mahmood,SR Watson,NA,1,0,1,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
829741,1,0,1,AM Rahane,Sandeep Sharma,SR Watson,NA,1,0,1,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
980949,1,0,1,AM Rahane,P Kumar,SS Tiwary,NA,0,0,0,0,0,NA,NA,NA,Rising Pune Supergiants,AM Rahane,CSK
980957,1,0,1,AM Rahane,TG Southee,SS Tiwary,NA,1,0,1,0,0,NA,NA,NA,Rising Pune Supergiants,AM Rahane,CSK
1178418,2,0,1,AM Rahane,CR Brathwaite,SV Samson,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
1178415,1,0,1,AM Rahane,I Sharma,SV Samson,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
1178411,2,0,1,AM Rahane,HH Pandya,SV Samson,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
829721,2,0,1,AM Rahane,R Vinay Kumar,SV Samson,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
829715,2,0,1,AM Rahane,JD Unadkat,SV Samson,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
829709,1,0,1,AM Rahane,Sandeep Sharma,SV Samson,legbyes,0,4,4,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
829727,2,0,1,AM Rahane,B Kumar,SV Samson,NA,1,0,1,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
1216507,2,0,1,BA Stokes,Sandeep Sharma,JC Buttler,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,BA Stokes,CSK
1178402,2,0,1,AM Rahane,JP Behrendorff,JC Buttler,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
1178400,1,0,1,AM Rahane,DL Chahar,JC Buttler,legbyes,0,1,1,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
1178396,1,0,1,AM Rahane,PP Chawla,JC Buttler,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
1175367,2,0,1,AM Rahane,DL Chahar,JC Buttler,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
