ID,innings,overs,ballnumber,batter,bowler,non_striker,extra_type,batsman_run,extras_run,total_run,non_boundary,isWicketDelivery,player_out,kind,fielders_involved,BattingTeam,player,team
1216497,1,0,1,Shubman Gill,TU Deshpande,N Rana,NA,0,0,0,0,0,NA,NA,NA,Kolkata Knight Riders,TU Deshpande,CSK
1216536,1,0,1,Shubman Gill,DL Chahar,N Rana,NA,4,0,4,0,0,NA,NA,NA,Kolkata Knight Riders,DL Chahar,CSK
1136587,2,0,1,SA Yadav,DL Chahar,E Lewis,NA,0,0,0,0,0,NA,NA,NA,Mumbai Indians,DL Chahar,CSK
1136561,1,0,1,RG Sharma,DL Chahar,E Lewis,NA,0,0,0,0,0,NA,NA,NA,Mumbai Indians,DL Chahar,CSK
1254069,2,0,1,JC Buttler,DL Chahar,M Vohra,NA,4,0,4,0,0,NA,NA,NA,Rajasthan Royals,DL Chahar,CSK
1136612,1,0,1,PP Shaw,DL Chahar,SS Iyer,wides,0,1,1,0,0,NA,NA,NA,Delhi Daredevils,DL Chahar,CSK
1178414,1,0,1,PA Patel,DL Chahar,V Kohli,NA,0,0,0,0,0,NA,NA,NA,Royal Challengers Bangalore,DL Chahar,CSK
1136584,1,0,1,Q de Kock,DL Chahar,V Kohli,NA,0,0,0,0,0,NA,NA,NA,Royal Challengers Bangalore,DL Chahar,CSK
1082624,2,0,1,TM Head,DL Chahar,V Kohli,NA,1,0,1,0,0,NA,NA,NA,Royal Challengers Bangalore,DL Chahar,CSK
1304047,2,0,1,AM Rahane,TU Deshpande,VR Iyer,NA,0,0,0,0,0,NA,NA,NA,Kolkata Knight Riders,TU Deshpande,CSK
1254117,2,0,1,Shubman Gill,DL Chahar,VR Iyer,wides,0,1,1,0,0,NA,NA,NA,Kolkata Knight Riders,DL Chahar,CSK
1254098,1,0,1,Shubman Gill,DL Chahar,VR Iyer,NA,1,0,1,0,0,NA,NA,NA,Kolkata Knight Riders,DL Chahar,CSK
1254091,1,0,1,JJ Roy,DL Chahar,WP Saha,NA,0,0,0,0,0,NA,NA,NA,Sunrisers Hyderabad,DL Chahar,CSK
1136606,1,0,1,S Dhawan,DL Chahar,AD Hales,NA,1,0,1,0,0,NA,NA,NA,Sunrisers Hyderabad,DL Chahar,CSK
1216544,1,0,1,D Padikkal,DL Chahar,AJ Finch,NA,0,0,0,0,0,NA,NA,NA,Royal Challengers Bangalore,DL Chahar,CSK
1216525,1,0,1,D Padikkal,DL Chahar,AJ Finch,NA,0,0,0,0,0,NA,NA,NA,Royal Challengers Bangalore,DL Chahar,CSK
598038,2,0,1,RV Uthappa,RA Jadeja,AJ Finch,NA,0,0,0,0,0,NA,NA,NA,Pune Warriors,RA Jadeja,CSK
1178430,2,0,1,KL Rahul,DL Chahar,CH Gayle,NA,0,0,0,0,0,NA,NA,NA,Kings XI Punjab,DL Chahar,CSK
1178393,2,0,1,KL Rahul,DL Chahar,CH Gayle,NA,0,0,0,0,0,NA,NA,NA,Kings XI Punjab,DL Chahar,CSK
1136616,1,0,1,KL Rahul,DL Chahar,CH Gayle,NA,0,0,0,0,0,NA,NA,NA,Kings XI Punjab,DL Chahar,CSK
1136572,1,0,1,KL Rahul,DL Chahar,CH Gayle,NA,0,0,0,0,0,NA,NA,NA,Kings XI Punjab,DL Chahar,CSK
1175356,1,0,1,V Kohli,DL Chahar,PA Patel,NA,1,0,1,0,0,NA,NA,NA,Royal Challengers Bangalore,DL Chahar,CSK
1254114,1,0,1,PP Shaw,DL Chahar,S Dhawan,NA,0,0,0,0,0,NA,NA,NA,Delhi Capitals,DL Chahar,CSK
1254110,2,0,1,PP Shaw,DL Chahar,S Dhawan,NA,0,0,0,0,0,NA,NA,NA,Delhi Capitals,DL Chahar,CSK
1254059,2,0,1,PP Shaw,DL Chahar,S Dhawan,NA,0,0,0,0,0,NA,NA,NA,Delhi Capitals,DL Chahar,CSK
1216539,1,0,1,PP Shaw,DL Chahar,S Dhawan,NA,0,0,0,0,0,NA,NA,NA,Delhi Capitals,DL Chahar,CSK
1216509,2,0,1,PP Shaw,DL Chahar,S Dhawan,NA,0,0,0,0,0,NA,NA,NA,Delhi Capitals,DL Chahar,CSK
1181767,1,0,1,PP Shaw,DL Chahar,S Dhawan,wides,0,1,1,0,0,NA,NA,NA,Delhi Capitals,DL Chahar,CSK
1178425,2,0,1,PP Shaw,DL Chahar,S Dhawan,NA,0,0,0,0,0,NA,NA,NA,Delhi Capitals,DL Chahar,CSK
1175360,1,0,1,PP Shaw,DL Chahar,S Dhawan,NA,0,0,0,0,0,NA,NA,NA,Delhi Capitals,DL Chahar,CSK
1136620,1,0,1,SP Goswami,DL Chahar,S Dhawan,noballs,1,1,2,0,0,NA,NA,NA,Sunrisers Hyderabad,DL Chahar,CSK
1136599,1,0,1,AD Hales,MM Ali,S Dhawan,NA,1,0,1,0,0,NA,NA,NA,Sunrisers Hyderabad,MM Ali,CSK
1175366,1,0,1,JM Bairstow,MM Ali,DA Warner,NA,0,0,0,0,0,NA,NA,NA,Sunrisers Hyderabad,MM Ali,CSK
1136577,2,0,1,AM Rahane,DL Chahar,H Klaasen,wides,0,1,1,0,0,NA,NA,NA,Rajasthan Royals,DL Chahar,CSK
