player
MM Ali
M Theekshana
RA Jadeja
DL Chahar
TU Deshpande
M Pathirana
Akash Singh
AR Patel
Kuldeep Yadav
A Nortje
KK Ahmed
I Sharma
L Ngidi
Mukesh Kumar
R Tewatia
Rashid Khan
Shivam Mavi
AS Joseph
V Shankar
J Yadav
Mohammed Shami
MM Sharma
Joshua Little
SN Thakur
Suyash Sharma
AD Russell
SP Narine
UT Yadav
TG Southee
Harshit Rana
LH Ferguson
CV Varun
MP Stoinis
KH Pandya
Avesh Khan
JD Unadkat
Ravi Bishnoi
R Bishnoi
Yash Thakur
K Kartikeya
RP Meredith
PP Chawla
JC Archer
JP Behrendorff
Arjun Tendulkar
Arshad Khan
Shams Mulani
Arshad Khan
LS Livingstone
Harpreet Brar
R Dhawan
RD Chahar
K Rabada
Arshdeep Singh
NT Ellis
SM Curran
Harpreet Singh
Sikandar Raza
Vidwath Kaverappa
HV Patel
Mohammed Siraj
SS Prabhudessai
Anuj Rawat
FA Allen
Akash Deep
KV Sharma
Rajan Kumar
Avinash Singh
R Ashwin
TA Boult
OC McCoy
JO Holder
YS Chahal
Sandeep Sharma
KC Kariappa
A Zampa
B Kumar
Umran Malik
Kartik Tyagi
Fazalhaq Farooqi
T Natarajan
M Markande
AU Rashid
