player
RD Gaikwad
DP Conway
MM Ali
MS Dhoni
S Dube
AM Rahane
BA Stokes
PP Shaw
DA Warner
MR Marsh
SN Khan
R Powell
AR Patel
MK Pandey
WP Saha
Shubman Gill
HH Pandya
DA Miller
KS Bharat
V Shankar
J Yadav
SN Thakur
VR Iyer
N Rana
AD Russell
RK Singh
SP Narine
JJ Roy
D Wiese
Litton Das
KL Rahul
DJ Hooda
MP Stoinis
KH Pandya
N Pooran
A Badoni
Kyle Mayers
Ishan Kishan
RG Sharma
D Brevis
Tilak Varma
TH David
Ramandeep Singh
SA Yadav
Cameron Green
S Dhawan
M Shahrukh Khan
LS Livingstone
JM Sharma
R Dhawan
SM Curran
Sikandar Raza
Atharva Taide
V Kohli
F du Plessis
RM Patidar
GJ Maxwell
MK Lomror
KD Karthik
Shahbaz Ahmed
Akash Deep
DJ Willey
YBK Jaiswal
JC Buttler
SV Samson
D Padikkal
SO Hetmyer
R Ashwin
R Parag
Dhruv Jurel
Abhishek Sharma
RA Tripathi
AK Markram
Washington Sundar
MA Agarwal
Abdul Samad
Harry Brook
Upendra Singh Yadav
Nitish Kumar Reddy
